Date,kW,KWh,wind_speed
03 01 2018 15:30,7.347679138,16.3742125,3.011370897
03 01 2018 15:40,0,83.98626485,3.743307114
03 01 2018 15:50,12.34420013,28.73127208,3.24625206
03 01 2018 16:00,-0.393067598,0,2.185888052
03 01 2018 16:10,0,0,2.142015934
03 01 2018 16:20,0,0,2.501405954
03 01 2018 16:30,0,0,2.668577909
03 01 2018 16:40,0,17.18059304,3.034003019
03 01 2018 16:50,0,25.43122108,3.197354078
03 01 2018 17:00,0,110.9796039,3.907810926
03 01 2018 17:10,65.98790741,93.00718811,3.801294088
03 01 2018 17:20,157.8495026,208.8146524,4.43715477
03 01 2018 17:30,50.42205048,74.4575207,3.677906036
03 01 2018 17:40,88.1881485,144.7212631,4.115369797
03 01 2018 17:50,242.3132935,332.9015993,4.987364769
03 01 2018 18:00,262.8019104,304.9535561,4.871101856
03 01 2018 18:10,584.6671143,598.7577677,5.921298981
03 01 2018 18:20,298.586792,343.5487361,5.030583858
03 01 2018 18:30,279.7724915,335.4735677,4.997858047
03 01 2018 18:40,823.4796143,780.5598676,6.434377193
03 01 2018 18:50,883.265625,1014.475559,6.996636868
03 01 2018 19:00,1155.17395,1323.35127,7.625429153
03 01 2018 19:10,1400.389038,1589.535548,8.103025436
03 01 2018 19:20,1205.10498,1267.568261,7.518618107
03 01 2018 19:30,1292.051025,1356.847422,7.688251019
03 01 2018 19:40,1856.177002,1802.775046,8.459005356
03 01 2018 19:50,1928.175049,2193.93789,9.077300072
03 01 2018 20:00,1604.427002,1790.767706,8.439414978
03 01 2018 20:10,1599.995972,1522.807198,7.987431049
03 01 2018 20:20,1456.094971,1495.816905,7.939982891
03 01 2018 20:30,1386.623047,1373.888155,7.719861984
03 01 2018 20:40,1460.360962,1403.435097,7.774147034
03 01 2018 20:50,1894.795044,1878.957276,8.582259178
03 01 2018 21:00,1760.422974,1729.804577,8.339191437
03 01 2018 21:10,2010.977051,2198.000295,9.083572388
03 01 2018 21:20,1828.81604,1937.131478,8.675281525
03 01 2018 21:30,1960.692993,2241.613462,9.150783539
03 01 2018 21:40,1900.447998,2268.199522,9.191649437
03 01 2018 21:50,1549.958008,1682.388913,8.260289192
03 01 2018 22:00,1692.688965,1821.638384,8.48968792
03 01 2018 22:10,1931.083984,2008.641646,8.78850174
03 01 2018 22:20,2060.147949,2115.986258,8.9564991
03 01 2018 22:30,2069.625,2205.805875,9.095618248
03 01 2018 22:40,2037.266968,1969.014282,8.725904465
03 01 2018 22:50,1594.845947,1594.82568,8.112092018
03 01 2018 23:00,994.5827026,952.7545786,6.856678963
03 01 2018 23:10,1137.285034,1147.124788,7.279873848
03 01 2018 23:20,1267.858032,1275.663238,7.534298897
03 01 2018 23:30,1002.463013,991.791762,6.945837021
03 01 2018 23:40,1172.348022,1054.959522,7.085527897
03 01 2018 23:50,1252.139038,1210.225036,7.406904221
04 01 2018 00:00,1121.166992,986.5997761,6.934106827
04 01 2018 00:10,1183.020996,1085.577233,7.151297092
04 01 2018 00:20,932.3084106,834.3322217,6.571721077
04 01 2018 00:30,989.5076904,911.3914755,6.759712219
04 01 2018 00:40,750.5510254,773.0743738,6.414824963
04 01 2018 00:50,825.7661743,815.1962332,6.523455143
04 01 2018 01:00,1116.487061,1044.579697,7.062949181
04 01 2018 01:10,986.7598877,883.5576994,6.692947865
04 01 2018 01:20,1018.14502,932.3551445,6.809185982
04 01 2018 01:30,659.1777954,656.9602747,6.096306801
04 01 2018 01:40,729.4874268,673.1894828,6.142684937
04 01 2018 01:50,864.5026245,779.022258,6.430369854
04 01 2018 02:00,1342.239014,1277.729355,7.538290977
04 01 2018 02:10,1279.098022,1188.27897,7.363255978
04 01 2018 02:20,1351.391968,1237.646646,7.46066618
04 01 2018 02:30,1039.727051,1030.349722,7.031758785
04 01 2018 02:40,876.0166016,960.6072518,6.874794006
04 01 2018 02:50,754.0079956,746.7335706,6.345135212
04 01 2018 03:00,1122.334961,1101.653759,7.185342789
04 01 2018 03:10,907.7965698,859.9864071,6.635414124
04 01 2018 03:20,1009.737,983.5802763,6.927267075
04 01 2018 03:30,1806.98999,1726.419178,8.333586693
04 01 2018 03:40,2374.843994,2465.780065,9.532950401
04 01 2018 03:50,1779.208984,1782.575933,8.42602253
04 01 2018 04:00,1334.980957,1254.910872,7.494080067
04 01 2018 04:10,1562.947021,1535.679929,8.009915352
04 01 2018 04:20,1562.116943,1498.388472,7.944521904
04 01 2018 04:30,1464.977051,1378.329691,7.72806406
04 01 2018 04:40,1312.358032,1238.475456,7.462277889
04 01 2018 04:50,767.0369873,775.1153796,6.420166969
04 01 2018 05:00,283.2593079,276.5245875,4.7484622
04 01 2018 05:10,687.1071777,716.8074668,6.264211178
04 01 2018 05:20,465.7536011,469.2545248,5.50088501
04 01 2018 05:30,355.6220093,405.760119,5.27207613
04 01 2018 05:40,467.8251953,529.0010043,5.701906204
04 01 2018 05:50,865.3469849,837.3348199,6.579235077
04 01 2018 06:00,1512.972046,1351.561187,7.678398132
04 01 2018 06:10,1491.698975,1470.901705,7.89579916
04 01 2018 06:20,2004.44104,2121.355873,8.964849472
04 01 2018 06:30,1581.483032,1577.962305,8.083142281
04 01 2018 06:40,1431.620972,1417.519324,7.799798965
04 01 2018 06:50,1523.792969,1517.596799,7.978303909
04 01 2018 07:00,1693.270996,1620.257833,8.155491829
04 01 2018 07:10,1775.037964,1675.437185,8.248645782
04 01 2018 07:20,1875.410034,1825.433662,8.495847702
04 01 2018 07:30,1558.057983,1508.211169,7.96182394
04 01 2018 07:40,1811.088989,1737.573598,8.35203743
04 01 2018 07:50,1686.125977,1608.367728,8.135239601
04 01 2018 08:00,2362.262939,2516.478296,9.599003792
04 01 2018 08:10,2000.86499,2132.426304,8.982050896
04 01 2018 08:20,1169.964966,1149.461729,7.2846632
04 01 2018 08:30,1309.223999,1269.040544,7.521474838
04 01 2018 08:40,759.0145264,699.0669586,6.215313911
04 01 2018 08:50,498.1903076,469.2917094,5.501014233
